id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
5975745,2023-08-11T22:30:00,2023-08-11T18:30:00,0.367,2023-03-22T00:00:00,minor_league_baseball,2,0.673,George M. Steinbrenner Field,US,FL,0.68,16,204.0,37.0,32.0,51.0,37.0,sports,Tampa Tarpons,22,0.29,Clearwater Threshers,20,0.29,0
6016946,2023-08-11T22:30:00,2023-08-11T18:30:00,0.404,2023-05-08T00:00:00,baseball,1,0.703,Raymond Chabot Grant Thornton Park (RCGT Park),Canada,ON,0.44,12,5.0,42.0,32.0,56.0,35.0,sports,Ottawa Titans,16,0.34,None,0,0.0,0
5975423,2023-08-11T22:30:00,2023-08-11T18:30:00,0.341,2023-03-21T00:00:00,minor_league_baseball,1,0.658,Publix Field at Joker Marchant Stadium,US,FL,0.6,16,9.0,40.0,18.0,50.0,43.0,sports,Lakeland Flying Tigers,29,0.28,None,0,0.0,0
5935706,2023-08-11T22:30:00,2023-08-11T18:30:00,0.618,2023-02-06T00:00:00,concert,2,0.804,PNC Bank Arts Center,US,NJ,0.77,15,477.0,265.0,17.0,6936.0,168.0,concert,Disturbed,15,0.57,Jinjer,32,0.57,0
5868011,2023-08-11T22:30:00,2023-08-11T18:30:00,0.832,2022-11-10T00:00:00,concert,3,0.908,Merriweather Post Pavilion,US,MD,0.77,14,100.0,375.0,197.0,1277.0,322.0,concert,Tyler Childers,15,0.74,Drive-By Truckers,21,0.51,0
5977750,2023-08-11T22:30:00,2023-08-11T18:30:00,0.334,2023-03-23T00:00:00,minor_league_baseball,2,0.65,Clipper Magazine Stadium,US,PA,0.41,21,8.0,42.0,26.0,56.0,37.0,sports,Lancaster Barnstormers,36,0.29,Frederick Baseball Club,29,0.3,0
5893973,2023-08-11T22:30:00,2023-08-11T18:30:00,0.712,2022-12-12T00:00:00,concert,4,0.85,St. Joseph's Health Amphitheater at Lakeview,US,NY,0.73,12,167.0,193.0,56.0,1212.0,130.0,concert,Zac Brown Band,24,0.66,Zac Brown,23,0.69,0
5843617,2023-08-11T22:35:00,2023-08-11T18:35:00,0.376,2022-10-13T00:00:00,minor_league_baseball,2,0.667,McCormick Field,US,NC,0.44,16,11.0,54.0,32.0,151.0,40.0,sports,Asheville Tourists,28,0.33,Hickory Crawdads,28,0.33,0
5831900,2023-08-11T22:35:00,2023-08-11T18:35:00,0.401,2022-10-05T00:00:00,minor_league_baseball,2,0.684,The Diamond,US,VA,0.53,16,69.0,35.0,18.0,64.0,37.0,sports,Richmond Flying Squirrels,34,0.35,Bowie Baysox,34,0.34,0
5968352,2023-08-11T22:35:00,2023-08-11T18:35:00,0.403,2023-03-14T00:00:00,sports,1,0.647,Homer Stryker Field,US,MI,0.35,3,1.0,44.0,44.0,45.0,44.0,sports,Kalamazoo Growlers,3,0.31,None,0,0.0,0
5994212,2023-08-11T22:35:00,2023-08-11T18:35:00,0.354,2023-04-10T00:00:00,minor_league_baseball,2,0.678,Farfield Properties Ballpark,US,NY,0.45,17,8.0,42.0,27.0,60.0,34.0,sports,Long Island Ducks,29,0.3,Gastonia Honey Hunters,30,0.31,0
5975523,2023-08-11T22:35:00,2023-08-11T18:35:00,0.344,2023-03-21T00:00:00,minor_league_baseball,1,0.656,Muncy Bank Ballpark at Historic Bowman Field,US,PA,0.38,8,8.0,37.0,25.0,57.0,25.0,sports,Williamsport Crosscutters,18,0.27,None,0,0.0,0
5988902,2023-08-11T22:35:00,2023-08-11T18:35:00,0.352,2023-04-04T00:00:00,minor_league_baseball,1,0.677,GoMart Ballpark,US,WV,0.43,14,10.0,36.0,14.0,50.0,39.0,sports,High Point Rockers,22,0.3,None,0,0.0,0
5950502,2023-08-11T22:35:00,2023-08-11T17:35:00,0.351,2023-02-18T00:00:00,minor_league_baseball,2,0.651,Bowling Green Ballpark,US,KY,0.41,16,21.0,35.0,17.0,71.0,37.0,sports,Bowling Green Hot Rods,28,0.31,Wilmington Blue Rocks,28,0.31,0
5801907,2023-08-11T22:35:00,2023-08-11T18:35:00,0.554,2022-09-08T00:00:00,minor_league_baseball,2,0.768,Durham Bulls Athletic Park,US,NC,0.66,22,121.0,101.0,18.0,1298.0,37.0,sports,Durham Bulls,40,0.45,Memphis Redbirds,40,0.4,0
5849942,2023-08-11T22:35:00,2023-08-11T18:35:00,0.383,2022-10-22T00:00:00,minor_league_baseball,2,0.675,PNC Field,US,PA,0.53,16,131.0,48.0,21.0,143.0,40.0,sports,Scranton Wilkes-Barre RailRiders,40,0.36,Syracuse Mets,40,0.37,0
5787793,2023-08-11T22:40:00,2023-08-11T18:40:00,0.763,2022-08-24T00:00:00,mlb,2,0.872,Tropicana Field,US,FL,0.84,118,291.0,97.0,46.0,457.0,85.0,sports,Tampa Bay Rays,222,0.64,Cleveland Guardians,222,0.63,0
5789616,2023-08-11T22:40:00,2023-08-11T18:40:00,0.882,2022-08-24T00:00:00,mlb,2,0.926,loanDepot park,US,FL,0.86,118,489.0,101.0,14.0,1022.0,71.0,sports,Miami Marlins,222,0.63,New York Yankees,223,0.72,0
5934301,2023-08-11T22:45:00,2023-08-11T18:45:00,0.334,2023-02-04T00:00:00,minor_league_baseball,2,0.64,Wild Health Field,US,KY,0.42,19,9.0,38.0,19.0,60.0,36.0,sports,Lexington Counter Clocks,32,0.28,York Revolution,25,0.3,0
5869686,2023-08-11T22:45:00,2023-08-11T17:45:00,0.623,2022-11-13T00:00:00,concert,1,0.806,Fargodome,US,ND,0.66,10,464.0,316.0,27.0,5780.0,152.0,concert,Def Leppard,5,0.71,None,0,0.0,0
5844381,2023-08-11T22:45:00,2023-08-11T18:45:00,0.395,2022-10-14T00:00:00,minor_league_baseball,2,0.686,Innovative Field,US,NY,0.49,22,43.0,30.0,17.0,64.0,24.0,sports,Rochester Red Wings,40,0.35,Lehigh Valley IronPigs,40,0.38,0
6029517,2023-08-11T23:00:00,2023-08-11T19:00:00,0.373,2023-05-18T00:00:00,broadway_tickets_national,1,0.681,The Theater Center,US,NY,0.59,266,6.0,98.0,87.0,128.0,95.0,theater,The Office! A Musical Parody,75,0.35,None,0,0.0,0
5977034,2023-08-11T23:00:00,2023-08-11T19:00:00,0.362,2023-03-23T00:00:00,theater,1,0.681,New World Stages / Stage 2,US,NY,0.55,99,81.0,271.0,49.0,622.0,162.0,theater,The Gazillion Bubble Show,99,0.35,None,0,0.0,0
6067658,2023-08-11T23:00:00,2023-08-11T19:00:00,0.243,2023-06-22T00:00:00,concert,4,0.618,Lovedraft's Brewing Co,US,PA,0.33,2,3.0,53.0,47.0,57.0,55.0,concert,The Acacia Strain,49,0.34,Pain of Truth,3,0.32,0
